,2014年,2015年,2016 年,2017 年
全 国,6350.7,6309,5656.7,5577.5
北 京,,,,
天 津,,,,
河 北,,,,
山 西,,,,
内蒙古,,,,
辽 宁,,,,
吉 林,,,,
黑龙江,,,,
上 海,,,,
江 苏,,,,
浙 江,120.1,121.7,92.6,94.7
安 徽,238.5,216.9,215.6,207.7
福 建,308.7,304.3,244.4,253.3
江 西,1550.4,1551,1385.7,1366.8
山 东,,,,
河南,,,,
湖 北,472.9,482.4,213.4,202.4
湖 南,1493.8,1490.7,1527.3,1499.2
广 东,1000.1,997.9,953.2,951.9
广 西,959.7,947.9,871.8,849.9
海 南,168.9,157.8,123,122.2
重 庆,,,,
四 川,,,,
贵 州,,,,
云 南,37.6,38.4,29.5,29.3
西 藏,,,,
陕 西,,,,
甘 肃,,,,
青 海,,,,
宁 夏,,,,
新 疆,,,0,
