name,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2010年,2011年
北京市,,,187.00 ,166.70 ,177.00 ,102.70 ,139.33 ,115.00 ,170.50 ,207.80 ,164.70 ,100.00 ,162.50 ,215.00 ,148.20 ,171.30 ,182.60 ,,
天津市,130.71 ,159.10 ,158.71 ,161.11 ,155.20 ,127.61 ,171.80 ,115.40 ,113.80 ,167.70 ,154.81 ,177.40 ,201.10 ,203.10 ,194.00 ,206.00 ,214.50 ,,
河北,101.21 ,65.51 ,111.81 ,64.40 ,122.20 ,58.90 ,130.00 ,44.74 ,110.10 ,83.84 ,75.10 ,107.70 ,144.22 ,148.00 ,148.02 ,128.20 ,149.80 ,,
山西,117.00 ,135.82 ,137.61 ,54.74 ,143.40 ,109.43 ,134.14 ,74.33 ,122.24 ,68.44 ,119.80 ,121.42 ,98.83 ,90.34 ,87.30 ,87.40 ,111.50 ,,
内蒙古,251.20 ,272.00 ,215.30 ,228.41 ,285.50 ,247.51 ,219.20 ,203.82 ,190.10 ,190.54 ,203.94 ,191.21 ,199.40 ,239.82 ,256.41 ,207.50 ,185.50 ,250.90 ,250.00 
辽宁,116.33 ,130.30 ,131.70 ,102.40 ,138.71 ,97.13 ,129.90 ,99.10 ,44.91 ,71.72 ,88.50 ,93.70 ,102.82 ,139.50 ,122.00 ,183.30 ,173.60 ,,
吉林,255.94 ,195.60 ,189.33 ,184.80 ,195.12 ,129.10 ,189.80 ,166.50 ,144.10 ,131.23 ,294.60 ,172.52 ,137.10 ,156.13 ,168.43 ,87.70 ,194.20 ,,
黑龙江,138.70 ,131.10 ,127.40 ,131.20 ,138.64 ,131.60 ,67.60 ,162.50 ,142.20 ,116.01 ,157.40 ,81.80 ,141.90 ,160.30 ,139.90 ,107.31 ,119.50 ,,
上海,,,,,,,,,,,,,,,,,,,
江苏,237.80 ,,246.70 ,705.00 ,226.00 ,809.00 ,396.20 ,,,422.31 ,166.61 ,184.60 ,260.00 ,239.23 ,210.83 ,186.40 ,195.00 ,,
浙江,,,,,,,,,,,,,,,,,,,
安徽,30.00 ,58.00 ,100.00 ,116.10 ,116.10 ,,,112.50 ,88.00 ,235.24 ,168.60 ,110.00 ,110.00 ,150.00 ,,,195.00 ,,
福建,,,90.00 ,126.67 ,,,,110.00 ,110.00 ,110.00 ,110.00 ,110.00 ,110.00 ,133.33 ,115.00 ,125.90 ,129.00 ,,
江西,,,58.00 ,51.50 ,,,,110.00 ,100.00 ,,,,,,,,170.80 ,,
山东,48.50 ,98.50 ,243.33 ,220.00 ,81.00 ,362.52 ,191.74 ,126.92 ,305.80 ,229.70 ,100.90 ,312.22 ,245.93 ,210.90 ,643.33 ,150.00 ,192.50 ,,
河南,128.30 ,131.33 ,68.70 ,186.23 ,210.96 ,58.20 ,195.20 ,217.60 ,204.60 ,188.04 ,159.50 ,155.80 ,186.80 ,185.10 ,266.93 ,273.24 ,204.00 ,,
湖北,125.50 ,100.50 ,100.60 ,113.13 ,110.52 ,128.80 ,112.32 ,119.90 ,127.00 ,143.50 ,109.90 ,137.04 ,131.00 ,131.30 ,121.00 ,136.70 ,108.70 ,,
湖南,104.80 ,84.50 ,113.60 ,131.00 ,110.30 ,105.83 ,107.50 ,122.30 ,71.60 ,98.00 ,56.04 ,96.30 ,146.00 ,85.70 ,93.72 ,61.54 ,83.90 ,,
广东,,,,,,,,,,,,,,,,,,,
广西,,,,,,,,,,,,,,,,,,,
海南,,,,,,,,,,,,,,,,,,,
重庆,,,,,112.22 ,59.74 ,74.30 ,80.21 ,92.12 ,92.01 ,110.60 ,87.24 ,138.62 ,151.30 ,123.60 ,130.30 ,104.80 ,,
四川,122.00 ,126.91 ,104.72 ,115.60 ,108.50 ,207.10 ,152.40 ,153.50 ,178.80 ,155.50 ,156.42 ,154.81 ,142.71 ,152.42 ,121.90 ,126.34 ,132.50 ,,
贵州,59.02 ,69.82 ,76.26 ,76.88 ,68.78 ,80.12 ,90.73 ,94.50 ,90.40 ,89.40 ,93.00 ,100.71 ,103.60 ,109.30 ,147.40 ,55.71 ,134.30 ,,
云南,231.93 ,196.50 ,210.64 ,216.17 ,165.48 ,185.43 ,170.03 ,138.12 ,156.20 ,152.50 ,167.02 ,194.90 ,182.70 ,211.80 ,207.50 ,179.90 ,201.00 ,,
西藏,,,,,,,,,,,,,,,,,,,
陕西,86.50 ,90.40 ,116.60 ,100.60 ,128.42 ,68.70 ,98.60 ,56.93 ,83.21 ,79.00 ,134.60 ,77.60 ,122.11 ,129.10 ,120.03 ,88.60 ,142.50 ,,
甘肃,224.42 ,214.72 ,231.91 ,235.29 ,203.27 ,207.30 ,193.13 ,157.70 ,223.00 ,210.42 ,213.20 ,217.74 ,198.80 ,206.10 ,204.53 ,245.30 ,248.70 ,,
青海,,,,,,,,,,,,,,,,,,,
宁夏,158.60 ,179.14 ,170.64 ,169.94 ,127.80 ,154.70 ,146.23 ,142.64 ,193.20 ,166.50 ,163.03 ,170.83 ,222.73 ,227.40 ,220.24 ,252.93 ,280.80 ,,
新疆,197.90 ,196.62 ,203.00 ,207.41 ,204.50 ,216.02 ,221.20 ,221.00 ,225.92 ,233.63 ,240.83 ,257.80 ,256.00 ,256.30 ,251.54 ,263.32 ,238.80 ,,
台湾,,,,,,,,,,,,,,,,,,,
香港,,,,,,,,,,,,,,,,,,,
澳门,,,,,,,,,,,,,,,,,,,
